SVID Kennzeichen Wert Aufloesung Prioritaet Steuerung
 63. ANMELDUNG           AF   Per Fax                                 
241078. PS-SCHULE           150034Gem. Hauptschule Kirchhundem - KirchhundemH         
241079. PS-SCHULE           150046Kaiser-Otto-Schule Elspe - LennestadtH         
241080. PS-SCHULE           150071Anne-Frank-Schule Meggen - LennestadtH         
241081. PS-SCHULE           150095Hakemickeschule - Olpe/BiggeseeH         
241082. PS-SCHULE           150137Wilhelm-von-Oranien-Schule - HilchenbachH         
241083. PS-SCHULE           150149Adolf-Reichwein-Schule - HilchenbachH         
241084. PS-SCHULE           150186Geschwister-Scholl-Schule - SiegenH         
241085. PS-SCHULE           150198Haardter-Berg-Schule - Siegen H         
241086. PS-SCHULE           150228Achenbacher Schule - Siegen   H         
241087. PS-SCHULE           150230Winchenbachschule - Siegen    H         
241100. PS-SCHULE           150502Paulischule - Soest           H         
241088. PS-SCHULE           150241Albertus-Magnus-Schule - SiegenH         
241089. PS-SCHULE           150290Gemeinschaftshauptschule - BurbachH         
241090. PS-SCHULE           150332Gem. Hauptschule Freudenberg - FreudenbergH         
241091. PS-SCHULE           150356Deichwaldschule Buschhütten - KreuztalH         
241092. PS-SCHULE           150368Gem. Hauptschule Eichen - KreuztalH         
241093. PS-SCHULE           150381Kopernikusschule - NeunkirchenH         
241094. PS-SCHULE           150400Gem. Hauptschule Deuz - NetphenH         
241095. PS-SCHULE           150447Hauptschule - Wilnsdorf       H         
241096. PS-SCHULE           150460Gem. Hauptschule Bremen - EnseH         
241097. PS-SCHULE           150472Hermann-Thormilten-Schule - LippetalH         
241098. PS-SCHULE           150484Gem. Hauptschule Körbecke - MöhneseeH         
241099. PS-SCHULE           150496Hauptschule Zur Hepper Höhe - Bad SassendorfH         
241101. PS-SCHULE           150514Thomaeschule - Soest          H         
241102. PS-SCHULE           150526Ganztagshauptschule Welver - WelverH         
241103. PS-SCHULE           150540Petrischule - Werl            H         
241104. PS-SCHULE           150551Overbergschule - Werl         H         
241105. PS-SCHULE           150563Gerkenschule - Wickede        H         
241106. PS-SCHULE           150654Burgschule - Bergkamen        H         
241107. PS-SCHULE           150678Heideschule - Bergkamen       H         
241108. PS-SCHULE           150708Hellwegschule - Bergkamen     H         
241109. PS-SCHULE           150721Pestalozzischule - Bönen      H         
241110. PS-SCHULE           150733Josef-Reding-Schule - HolzwickedeH         
241111. PS-SCHULE           150745Kopernikusschule - Hamm       H         
241112. PS-SCHULE           150757Falkschule - Hamm             H         
241113. PS-SCHULE           150770Lohschule - Hamm              H         
241114. PS-SCHULE           150782Erlenbachschule - Hamm        H         
241115. PS-SCHULE           150800Ludwig-zu-Sayn-Wittgenstein-Schule - Bad BerleburgH         
241198. PS-SCHULE           153114Waldschule - Hünxe            S         
241116. PS-SCHULE           150812Städt. Gem. Hauptschule Bad Laasphe - Bad LaaspheH         
241117. PS-SCHULE           150836Gem. Hauptschule Erndtebrück - ErndtebrückH         
241118. PS-SCHULE           150873Priv. Tagesschule Dönberg - WuppertalV         
241119. PS-SCHULE           151210Gem. Hauptschule Kleinau - HürtgenwaldH         
241120. PS-SCHULE           151294Gem. Hauptschule Vettweiß - VettweißH         
241121. PS-SCHULE           151671Gerhart-Hauptmann-Schule - UnnaV         
241122. PS-SCHULE           151701Janusz-Korczak-Schule - DüsseldorfS         
241123. PS-SCHULE           151737Erich-Kästner-Schule - DüsseldorfS         
241124. PS-SCHULE           151762Jan-Daniel-Georgens-Schule - DüsseldorfS         
241125. PS-SCHULE           151774Peter-Härtling-Schule - DüsseldorfS         
241126. PS-SCHULE           151786Astrid-Lindgren-Schule - DüsseldorfS         
241127. PS-SCHULE           151804Jan-Wellem-Schule - DüsseldorfS         
241128. PS-SCHULE           151830Städt. Schule für Geistigbehinderte II - DüsseldorfS         
241129. PS-SCHULE           151841Rheinische Schule - DüsseldorfS         
241130. PS-SCHULE           151853Städt. Schule für Erziehungshilfe - DüsseldorfS         
241131. PS-SCHULE           151865Rudolf-Hildebrand-Schule - DüsseldorfS         
241132. PS-SCHULE           151877Rheinische Schule - DüsseldorfS         
241133. PS-SCHULE           151889Städt. Schule für Geistigbehinderte - DüsseldorfS         
241134. PS-SCHULE           151890Städt. Schule für Geistigbehinderte I - DüsseldorfS         
241135. PS-SCHULE           151919Alfred-Herrhausen-Schule - DüsseldorfS         
241136. PS-SCHULE           151932Martin-Luther-King-Schule - DüsseldorfS         
241137. PS-SCHULE           151956Christian-Zeller-Schule - DuisburgS         
241138. PS-SCHULE           151981Buchholzer Waldschule - DuisburgS         
241157. PS-SCHULE           152365Albert-Liebmann-Schule - EssenS         
241139. PS-SCHULE           151993Christy-Brown-Schule Duisburg - DuisburgS         
241140. PS-SCHULE           152006Rheinische Schule für Sehbehinderte - DuisburgS         
241141. PS-SCHULE           152020Städt. Schule für Lernbehinderte - DuisburgS         
241142. PS-SCHULE           152031Städt. Schule für Lernbehinderte - DuisburgS         
241143. PS-SCHULE           152043Städt. Schule für Lernbehinderte - DuisburgS         
241144. PS-SCHULE           152079Städt. Schule für Lernbehinderte - DuisburgS         
241145. PS-SCHULE           152109Städt. Schule für Lernbehinderte - DuisburgS         
241146. PS-SCHULE           152110Möllhovenschule  - Städt. Sonderschule - - EssenS         
241147. PS-SCHULE           152122Parkschule  - Städt. Sonderschule - - EssenS         
241148. PS-SCHULE           152146Bernetalschule  - Städt. Sonderschule - - EssenS         
241149. PS-SCHULE           152171Schule Am Steeler Tor-Städt.Sonderschule - EssenS         
241150. PS-SCHULE           152195Carl-Meyer-Schule - Städt.Sonderschule - - EssenS         
241151. PS-SCHULE           152225Theodor-Fliedner-Schule  Städt. Sonder- - EssenS         
241152. PS-SCHULE           152262Ruhrtalschule  - Städt. Sonderschule - - EssenS         
241153. PS-SCHULE           152286Schule am Hellweg  -Städt. Sonderschule- - EssenS         
241154. PS-SCHULE           152316Salzmannschule  - Städt. Sonderschule - - EssenS         
241155. PS-SCHULE           152330Friedrich-Fröbel-Schule - Städt. Sonder- - EssenS         
241156. PS-SCHULE           152353Rheinische Schule für Körperbehinderte - EssenS         
241158. PS-SCHULE           152377Franz-Sales-Haus - Essen      S         
241159. PS-SCHULE           152407Friedrich-von-Bodelschwingh-Schule - KrefeldS         
241160. PS-SCHULE           152419Gerd Jansen Schule - Krefeld  S         
241161. PS-SCHULE           152456Konrad-Görtz-Schule - Krefeld S         
241162. PS-SCHULE           152468Comeniusschule - Krefeld      S         
240503. PS-SCHULE           138605Städt. Gem. Hauptschule Uellendahl - WuppertalH         
240505. PS-SCHULE           138642Hauptschule Am Katernberg - WuppertalH         
240507. PS-SCHULE           138708Städt. Gem. Hauptschule - WuppertalH         
240509. PS-SCHULE           138745Städt. Gem. Hauptschule - WuppertalH         
240513. PS-SCHULE           138836Frankenschule - Duisburg      H         
240515. PS-SCHULE           138885Gem. Hauptschule der Stadt Voerde - VoerdeH         
240517. PS-SCHULE           138927Städt. Gem. Hauptschule Zum Diek - HaanH         
240519. PS-SCHULE           138964Theodor-Heuss-Schule - Hilden H         
240521. PS-SCHULE           139014Anne-Frank-Schule - Mettmann  H         
240523. PS-SCHULE           139063Elsa-Brandström-Schule - RatingenH         
240525. PS-SCHULE           139099Städt. Gem. Hauptschule Am Baum - VelbertH         
240527. PS-SCHULE           139130Albert-Schweitzer-Schule - ErkrathH         
61876. VORNAMEN            ElisaW                                       
61878. VORNAMEN            Cara W                                       
241163. PS-SCHULE           152470Schule Am Uerdinger Rundweg - KrefeldS         
241164. PS-SCHULE           152493Pestalozzischule - Leverkusen S         
241165. PS-SCHULE           152500Comeniusschule - Leverkusen   S         
241166. PS-SCHULE           152511Rheinische Schule für Körperbehinderte - MönchengladbachS         
241167. PS-SCHULE           152523Karl-Barthold-Schule - MönchengladbachS         
241168. PS-SCHULE           152535Anne-Frank-Schule - MönchengladbachS         
241169. PS-SCHULE           152547Schule Hehnerholt  - Sonderschule - - MönchengladbachS         
241170. PS-SCHULE           152584Tersteegen-Schule - Mülheim an der RuhrS         
241171. PS-SCHULE           152614Wilhelm-Busch-Förderschule - Mülheim an der RuhrS         
241172. PS-SCHULE           152651Schule am Wildpark - Neuss    S         
241173. PS-SCHULE           152675Fröbelschule - Oberhausen     S         
241174. PS-SCHULE           152687Herderschule - Oberhausen     S         
241175. PS-SCHULE           152717Christian-Morgenstern-Schule - OberhausenS         
241176. PS-SCHULE           152766Stötznerschule - Oberhausen   S         
241177. PS-SCHULE           152778Hilda-Heinemann-Schule - RemscheidS         
241178. PS-SCHULE           152780Karl-Kind-Schule - Remscheid  S         
241179. PS-SCHULE           152808Pestalozzischule - Remscheid  S         
241180. PS-SCHULE           152821Förderschule Wiedemannstraße - MönchengladbachS         
241181. PS-SCHULE           152833Förderschule Rheydt - MönchengladbachS         
241182. PS-SCHULE           152845Diesterwegschule - Solingen   S         
241183. PS-SCHULE           152857Pestalozzischule - Solingen   S         
241184. PS-SCHULE           152869Comeniusschule - Solingen     S         
241185. PS-SCHULE           152882Wilhelm-Hartschen-Schule - SolingenS         
241186. PS-SCHULE           152900Rheinische Schule - Wuppertal S         
241187. PS-SCHULE           152912Städt. Schule für Lernbehinderte - WuppertalS         
241188. PS-SCHULE           152924Peter-Härtling-Schule - WuppertalS         
241189. PS-SCHULE           152936Christian-Morgenstern-Schule - WuppertalFW        
241190. PS-SCHULE           152950Astrid-Lindgren-Schule - WuppertalS         
241191. PS-SCHULE           152973Städt. Schule für Lernbehinderte - WuppertalS         
241192. PS-SCHULE           152985Eugen-Langen-Schule - WuppertalS         
241193. PS-SCHULE           153000Anne-Frank-Schule - Wuppertal S         
241194. PS-SCHULE           153023Städt. Schule für Lernbehinderte - WuppertalS         
241195. PS-SCHULE           153060Fröbelschule an der Windmühle - DinslakenS         
241196. PS-SCHULE           153084Städt. Schule für Lernbehinderte - DuisburgS         
241197. PS-SCHULE           153096Janusz-Korczak-Schule - VoerdeS         
241199. PS-SCHULE           153126Pestalozzischule - Haan       S         
241200. PS-SCHULE           153138Pestalozzischule - HeiligenhausS         
241231. PS-SCHULE           153643Ringschule - Kleve            S         
241201. PS-SCHULE           153140Ferdinand-Lieven-Schule - HildenS         
241202. PS-SCHULE           153175Erich Kästner-Schule - MettmannS         
241203. PS-SCHULE           153187Hans-Helmich-Schule - MettmannS         
241204. PS-SCHULE           153217Helen-Keller-Schule - RatingenS         
241205. PS-SCHULE           153229Städt. Sonderschule für Lernbehinderte - VelbertS         
241206. PS-SCHULE           153242Angerschule - Wülfrath        S         
241207. PS-SCHULE           153266Evangelische Schule für Erziehungshilfe - WülfrathS         
241208. PS-SCHULE           153280Friedrich-Fröbel-Schule - ErkrathS         
241209. PS-SCHULE           153291Comenius-Schule - Ratingen    S         
241210. PS-SCHULE           153308Private Schule für Erziehungshilfe I - DüsseldorfS         
241211. PS-SCHULE           153310Private Schule für Erziehungshilfe und - DüsseldorfS         
241212. PS-SCHULE           153321Franziskusschule - Geldern    S         
241213. PS-SCHULE           153333Pestalozzischule - Kevelaer   S         
241214. PS-SCHULE           153345Don-Bosco-Schule - Geldern    S         
241215. PS-SCHULE           153394Mosaik-Schule - Grevenbroich  S         
241216. PS-SCHULE           153400Schule für Lernbehinderte - KaarstS         
241217. PS-SCHULE           153424Schule am Chorbusch - DormagenS         
241218. PS-SCHULE           153436Priv. Kath. Schule für Erziehungshilfe - DormagenS         
241219. PS-SCHULE           153448Martin-Luther-King-Schule - GrevenbroichS         
241220. PS-SCHULE           153450Sebastianusschule - Kaarst    S         
241221. PS-SCHULE           153461Städt. Raphael-Schule - MeerbuschS         
241222. PS-SCHULE           153515Johannes-Hubertus-Schule - KempenS         
241223. PS-SCHULE           153527Comeniusschule - Nettetal     S         
241224. PS-SCHULE           153539Schule an der Schwalm - SchwalmtalS         
241225. PS-SCHULE           153564Diergardtschule - Viersen     S         
241226. PS-SCHULE           153576Overbergschule - Viersen      S         
241227. PS-SCHULE           153588Hanns-Dieter-Hüsch-Schule - ViersenS         
241228. PS-SCHULE           153590Franziskus-Schule - Viersen   S         
241229. PS-SCHULE           153618Pestalozzischule - Willich    S         
241230. PS-SCHULE           153631Pestalozzischule - Goch       S         
241232. PS-SCHULE           153667Pestalozzischule - Duisburg   S         
241233. PS-SCHULE           153679Niederrheinschule - Kamp-LintfortS         
241234. PS-SCHULE           153692Albert-Schweitzer-Schule - MoersS         
241235. PS-SCHULE           153709Maria-Montessori-Schule - RheinbergS         
241236. PS-SCHULE           153710Dahlingschule - Duisburg      S         
241237. PS-SCHULE           153746Engelbert-Humperdinck-Förderzentrum - XantenS         
241238. PS-SCHULE           153783Sonneck-Schule - Neukirchen-VluynS         
241239. PS-SCHULE           153795Hans-Lenhard-Schule  - Sonderschule - - Neukirchen-VluynS         
241240. PS-SCHULE           153849Förderzentrum Grunewald
 Städt. Sonder- - Emmerich am RheinS         
241241. PS-SCHULE           153850Anne-Frank-Schule - Rees      S         
241242. PS-SCHULE           153862Ellen-Key-Schule - Wesel      S         
241243. PS-SCHULE           153898Erich-Kästner-Schule - HückeswagenS         
241244. PS-SCHULE           153904Pestlozzischule - Langenfeld  S         
241245. PS-SCHULE           153916Schule an der Virneburg - LangenfeldS         
241246. PS-SCHULE           153930Comeniusschule - Monheim am RheinS         
241247. PS-SCHULE           153941Rat-Deycks-Schule - LeverkusenS         
241248. PS-SCHULE           153953Fröbelschule - Radevormwald   S         
241249. PS-SCHULE           153965Pestalozzischule - WermelskirchenS         
241250. PS-SCHULE           153977Siebengebirgsschule - Bonn    S         
241251. PS-SCHULE           153989Gartenschule Beuel - Bonn     S         
241252. PS-SCHULE           153990Pestalozzischule - Bonn       S         
241253. PS-SCHULE           154015Königin-Juliana-Schule - Bonn S         
241254. PS-SCHULE           154027Astrid-Lindgren-Schule - Bonn S         
241255. PS-SCHULE           154040Christophorusschule - Bonn    S         
241256. PS-SCHULE           154064Joseph-von-Eichendorff-Schule - BonnS         
241257. PS-SCHULE           154076Johannes-Gutenberg-Schule - BonnS         
241258. PS-SCHULE           154088Paul-Martini-Schule - Bonn    S         
241259. PS-SCHULE           154106Rheinische Schule für Hörgeschädigte - KölnS         
241260. PS-SCHULE           154120Städt. Schule für Lernbehinderte - KölnS         
241261. PS-SCHULE           154131Städt. Schule für Kranke - KölnS         
241262. PS-SCHULE           154143Städt. Johann-Christoph-Winters-Schule - KölnS         
241263. PS-SCHULE           154167Städt. Mildred-Scheel-Schule - KölnS         
241264. PS-SCHULE           154179Städt. Schule für Erziehungshilfe - KölnS         
241427. PS-SCHULE           156619Almeschule - Büren            S         
243934. $OLD-FACHKLSCHL     A0115100Chirurgiemechaniker           A01       
243936. $OLD-FACHKLSCHL     A0146700Versicherungskaufmann         A01       
243938. $OLD-FACHKLSCHL     A0180600Blinder Fernschreiber         A01       
243940. $OLD-FACHKLSCHL     A0185202Werkzeugmaschinenspaner - FräsenA01       
243942. $OLD-FACHKLSCHL     A0226400Holzblasinstrumentenmacher    A02       
243944. $OLD-FACHKLSCHL     A0331600Kunststoff- u. SchwergewebekonfektionärA03       
243946. $OLD-FACHKLSCHL     A0343100Stukkateur                    A03       
243948. $OLD-FACHKLSCHL     A0411300Bankkaufmann                  A04       
243950. $OLD-FACHKLSCHL     A0420000Fassadenmonteuer              A04       
243952. $OLD-FACHKLSCHL     A0442900Straßenwärter                 A04       
243954. $OLD-FACHKLSCHL     A0710208JOA in berufsvorb. Maßnahmen der AV u. freier Träger - Inform.- u. Telekomm.technikA07       
243956. $OLD-FACHKLSCHL     C0110300Bekleidungstechnischer AssistentC01       
243958. $OLD-FACHKLSCHL     E0112305Technik                       E01       
61880. VORNAMEN            Jan-FrederikM                                       
61882. VORNAMEN            PhillipM                                       
240482. PS-SCHULE           138253Städt. Gem. Hauptschule Lirich - OberhausenH         
240484. PS-SCHULE           138290Städt. Gem. Hauptschule Rosenhügel - RemscheidH         
240486. PS-SCHULE           138319Städt. Gem. Hauptschule Hölterfeld - RemscheidH         
240488. PS-SCHULE           138344Städt. Gem. Hauptschule - MönchengladbachH         
240490. PS-SCHULE           138368Städt. Gem. Hauptschule Kirschhecke - MönchengladbachH         
240492. PS-SCHULE           138393Städt. Gem. Hauptschule Dohrer Straße - MönchengladbachH         
240494. PS-SCHULE           138459Hauptschule Mangenberg - SolingenH         
240496. PS-SCHULE           138472Städt. Gem. Hauptschule Central - SolingenH         
240498. PS-SCHULE           138538Städt. Kath. Hauptschule - WuppertalH         
240500. PS-SCHULE           138551Städt. Gem. Hauptschule Vohwinkel - WuppertalH         
240511. PS-SCHULE           138794Volksparkschule - Dinslaken   H         
202408. NOK-ART             C_Ü_3Überweisung                             
240553. PS-SCHULE           139671Gem. Hauptschule Schwalmtal - SchwalmtalH         
240555. PS-SCHULE           139701Städt. Gem. Hauptschule Süchteln - ViersenH         
240557. PS-SCHULE           139750Ostschule Dülken - Viersen    H         
240559. PS-SCHULE           139804Gem. Hauptschule St.Markus - Bedburg-HauH         
240561. PS-SCHULE           139828Gustav-Adolf-Schule - Goch    H         
240563. PS-SCHULE           139853Wilhelm-Frede-Schule - Kleve  H         
240565. PS-SCHULE           139889Konrad-Adenauer-Schule - KleveH         
240567. PS-SCHULE           139907Hanns-Dieter-Hüsch-Schule - UedemH         
240569. PS-SCHULE           139944Diesterwegschule - Kamp-LintfortH         
240571. PS-SCHULE           139993Justus-von-Liebig-Schule - MoersH         
240573. PS-SCHULE           140030Städt. Gem. Hauptschule - DuisburgH         
240575. PS-SCHULE           140090Gem. Hauptschule Xanten - XantenH         
61910. VORNAMEN            Lena-MariaW                                       
61912. VORNAMEN            FathallaM                                       
240459. PS-SCHULE           137595Gartenstadtschule - Krefeld   H         
240461. PS-SCHULE           137686Städt. Gem. Hauptschule - LeverkusenH         
240463. PS-SCHULE           137716Städt. Kath. Hauptschule Neuwerk - MönchengladbachH         
240465. PS-SCHULE           137730Städt. Kath. Hauptschule Stadtmitte - MönchengladbachH         
240467. PS-SCHULE           137807Heinrich-Lersch-Schule - MönchengladbachH         
240469. PS-SCHULE           137900Städt. Gem. Hauptschule - Mülheim an der RuhrH         
240471. PS-SCHULE           137947Städt. Gem. Hauptschule Dümpten - Mülheim an der RuhrH         
240473. PS-SCHULE           137996Städt. Gem. Hauptschule - NeussH         
240475. PS-SCHULE           138022Maximilian-Kolbe-Schule - NeussH         
240477. PS-SCHULE           138071Städt. Gem. Hauptschule Altstaden - OberhausenH         
240479. PS-SCHULE           138149Städt. Gem. Hauptschule Alsfeld - OberhausenH         
61842. VORNAMEN            Tanuja VinodiniW                                       
61844. VORNAMEN            SophiaW                                       
240434. PS-SCHULE           136750Städt. Gem. Hauptschule - DuisburgH         
240436. PS-SCHULE           136840Gebrüder-Grimm-Schule - DuisburgH         
240438. PS-SCHULE           136955Städt. Kath. Hauptschule Katernberg - EssenH         
240440. PS-SCHULE           136980Städt. Gem. Hauptschule - EssenH         
240444. PS-SCHULE           137157Adelkampschule - Essen        H         
240446. PS-SCHULE           137194Städt. Gem. Hauptschule - EssenH         
240448. PS-SCHULE           137236Städt. Gem. Hauptschule - EssenH         
240450. PS-SCHULE           137364Städt. Gem. Hauptschule Bochold - EssenH         
240452. PS-SCHULE           137480Stephanusschule - Krefeld     H         
240454. PS-SCHULE           137509Sandbergschule - Krefeld      H         
240456. PS-SCHULE           137558Städt. Gem. Hauptschule - KrefeldH         
240458. PS-SCHULE           137583Städtische Gemeinschaftshauptschule - KrefeldH         
61846. VORNAMEN            LuisaW                                       
61863. VORNAMEN            MalihaW                                       
241265. PS-SCHULE           154180Städt. Schule für Erziehungshilfe - KölnS         
241266. PS-SCHULE           154192Schule Der kleine Prinz - KölnS         
241267. PS-SCHULE           154209Städt. Schule für Erziehungshilfe - KölnS         
241268. PS-SCHULE           154210Eduard-Mörike-Schule - Köln   S         
241269. PS-SCHULE           154222Städt. Schule für Erziehungshilfe - KölnS         
241270. PS-SCHULE           154234Rheinische Schule für Körperbehinderte - KölnS         
241271. PS-SCHULE           154246Städt. Schule für Sprachbehinderte - KölnS         
241272. PS-SCHULE           154260Städt. Schule für Geistigbehinderte - KölnS         
241273. PS-SCHULE           154301Gertrud-Bollenrath-Schule - KölnS         
241274. PS-SCHULE           154313Franz-Röser-Schule - Köln     S         
241275. PS-SCHULE           154337Städt. Schule für Lernbehinderte - KölnS         
241276. PS-SCHULE           154350Nordpark Schule - Köln        S         
241279. PS-SCHULE           154428Severin-Schule - Köln         S         
241277. PS-SCHULE           154362Hermann-Gmeiner-Schule - Köln S         
241278. PS-SCHULE           154374Wilhelm-Leyendecker-Schule - KölnS         
241280. PS-SCHULE           154441Kolkrabenschule - Köln        S         
241281. PS-SCHULE           154465Städt. Schule für Lernbehinderte - KölnS         
241282. PS-SCHULE           154489Andre Thomkins-Schule - Köln  S         
241283. PS-SCHULE           154490Städt. Schule für Geistigbehinderte - KölnS         
241284. PS-SCHULE           154507Städt. Schule für Geistigbehinderte - KölnS         
241285. PS-SCHULE           154519Städt. Schule für Erziehungshilfe - KölnS         
241286. PS-SCHULE           154520Jakob-van-Gils-Schule - BergheimS         
241287. PS-SCHULE           154532Martin-Luther-Schule - ElsdorfS         
241288. PS-SCHULE           154544Helen-Keller-Schule - BergheimS         
241289. PS-SCHULE           154556Pestalozzischule - Kerpen     S         
241290. PS-SCHULE           154568Don-Bosco-Schule - Erftstadt  S         
241291. PS-SCHULE           154593Rheinische Landesschule - EuskirchenS         
241292. PS-SCHULE           154600Hans-Verbeek-Schule - EuskirchenS         
241293. PS-SCHULE           154623Rheinische Schule für Hörgeschädigte - EuskirchenS         
241294. PS-SCHULE           154647Stephanusschule - Zülpich     S         
241296. PS-SCHULE           154660Priv. Kath. Schule für Erziehungshilfe - KallS         
241297. PS-SCHULE           154672St.-Barbara-Schule - MechernichS         
241298. PS-SCHULE           154684Astrid-Lindgren-Schule - SchleidenS         
241299. PS-SCHULE           154696Pestalozzischule - Brühl      S         
241300. PS-SCHULE           154714Paul-Krämer-Schule - Frechen  S         
241301. PS-SCHULE           154738Dr.-Kürten-Schule - Sonderschule d.Stadt - HürthS         
241302. PS-SCHULE           154751Fröbelschule - Wesseling      S         
241303. PS-SCHULE           154763Maria-Montessori-Schule - BrühlS         
241304. PS-SCHULE           154799Helen-Keller-Schule - Wiehl   S         
241305. PS-SCHULE           154805Jakob-Moreno-Schule - GummersbachS         
241306. PS-SCHULE           154817Priv. Kath. Schule St. Antonius - ReichshofS         
241307. PS-SCHULE           154829Roseggerschule - Waldbröl     S         
241308. PS-SCHULE           154830Wilhelm-Wagener-Schule - Bergisch GladbachS         
241309. PS-SCHULE           154842Friedrich-Fröbel-Schule - Bergisch GladbachS         
241310. PS-SCHULE           154878Finkenberg Schule - Köln      S         
241311. PS-SCHULE           154880Städt. Schule für Geistigbehinderte - KölnS         
241312. PS-SCHULE           154908Alice-Salomon-Schule - WipperfürthS         
241313. PS-SCHULE           154910Janusz-Korczak-Schule - LindlarS         
241314. PS-SCHULE           154945Käthe-Kollwitz-Schule - RösrathS         
241315. PS-SCHULE           154957Rheinische Landesschule - RösrathS         
241316. PS-SCHULE           154969Anne-Frank-Schule - WipperfürthS         
241319. PS-SCHULE           154994Verbundschule - Bornheim      S         
241317. PS-SCHULE           154970Ersatzschule für Erziehungshilfe - KürtenS         
241318. PS-SCHULE           154982Gutenbergschule - Sankt AugustinS         
241320. PS-SCHULE           155007Schule für Lernbehinderte - HennefS         
241321. PS-SCHULE           155019St.Ansgar-Schule - Hennef     S         
241322. PS-SCHULE           155020Drachenfelsschule - KönigswinterS         
241323. PS-SCHULE           155068Das Fachwerk - Niederkassel   S         
241324. PS-SCHULE           155070Albert-Schweitzer-Schule - RheinbachS         
241325. PS-SCHULE           155081Heinrich-Hanselmann-Schule - Sankt AugustinS         
241326. PS-SCHULE           155100Don-Bosco-Schule - Troisdorf  S         
241327. PS-SCHULE           155111Schule im Laach - Troisdorf   S         
241328. PS-SCHULE           155135Janusz-Korczak-Schule - AachenS         
241329. PS-SCHULE           155147Rheinische Schule - Aachen    S         
241330. PS-SCHULE           155159David-Hirsch-Schule - Aachen  S         
241331. PS-SCHULE           155172Schule am Kurbrunnen - Aachen S         
241332. PS-SCHULE           155184Städt. Schule am Kennedeypark - AachenS         
241333. PS-SCHULE           155196Schule am Rödgerbach - Aachen S         
241334. PS-SCHULE           155202Städt. Schule für Lernbehinderte - AachenS         
241335. PS-SCHULE           155226Bischöfliche Marienschule - AachenS         
241336. PS-SCHULE           155240Rhein. Landesschule für Sehbehinderte - AachenS         
241337. PS-SCHULE           155263Elisabethschule - Alsdorf     S         
241338. PS-SCHULE           155329Schule für Lernbehinderte - EschweilerS         
241339. PS-SCHULE           155366Förderschule Nordeifel - SimmerathS         
241340. PS-SCHULE           155378Schule für Lernbehinderte Talstraße - StolbergS         
241341. PS-SCHULE           155421Albert-Schweitzer-Schule - WürselenS         
241342. PS-SCHULE           155445Christophorus-Schule Düren - DürenS         
241343. PS-SCHULE           155457Bürgewaldschule - Düren       S         
241344. PS-SCHULE           155469Cornetzhofschule - Düren      S         
241345. PS-SCHULE           155470Rheinische Schule für Blinde - DürenS         
241346. PS-SCHULE           155494Schirmerschule - Jülich       S         
241347. PS-SCHULE           155500Gereonschule - Kreuzau        S         
241348. PS-SCHULE           155524Pestalozzischule Erkelenz - ErkelenzS         
241349. PS-SCHULE           155536Mercator-Schule - Gangelt     S         
241350. PS-SCHULE           155550Schule für Lernbehinderte - HeinsbergS         
241351. PS-SCHULE           155561Förderschule - Hückelhoven    S         
241352. PS-SCHULE           155573Comeniusschule - Übach-PalenbergS         
241353. PS-SCHULE           155597Overbergschule - Bocholt      S         
241354. PS-SCHULE           155615Schule am Tetraeder - Bottrop S         
241355. PS-SCHULE           155627Städt. Schule für Lernbehinderte Boy - BottropS         
241393. PS-SCHULE           156139Haus Hall - Gescher           S         
241356. PS-SCHULE           155640Adolf-Kolping-Schule - BottropS         
241357. PS-SCHULE           155652Schlossparkschule Horst - GelsenkirchenS         
241358. PS-SCHULE           155676Städt. Schule für Lernbehinderte - GelsenkirchenS         
241359. PS-SCHULE           155690Städt. Schule für Lernbehinderte - GelsenkirchenS         
241360. PS-SCHULE           155720Rungenbergschule - GelsenkirchenS         
241361. PS-SCHULE           155731Antoniusschule - GelsenkirchenS         
241362. PS-SCHULE           155767Städt. Schule für Lernbehinderte - GelsenkirchenS         
241363. PS-SCHULE           155779Westfälische Schule - GelsenkirchenS         
241364. PS-SCHULE           155780Glückauf-Schule - GelsenkirchenS         
241365. PS-SCHULE           155792Löchterschule - Gelsenkirchen S         
241366. PS-SCHULE           155809Hansaschule  ( Sonderschule ) - GelsenkirchenS         
241367. PS-SCHULE           155822Roßheideschule  - Sonderschule - - GladbeckS         
241368. PS-SCHULE           155834Fröbelschule Gladbeck-Mitte - GladbeckS         
241369. PS-SCHULE           155846Uppenbergschule - Münster     S         
241370. PS-SCHULE           155858Albert-Schweitzer-Schule - MünsterS         
241371. PS-SCHULE           155860Johannesschule Hiltrup - MünsterS         
241372. PS-SCHULE           155871Westfälische Schule für Gehörlose - MünsterS         
241373. PS-SCHULE           155895Westfälische Schule - Münster S         
241374. PS-SCHULE           155901Papst-Johannes-Schule - MünsterS         
241375. PS-SCHULE           155913Westfälische Schule - Münster S         
241376. PS-SCHULE           155925Helen-Keller-Schule - Münster S         
241377. PS-SCHULE           155949Albert-Schweitzer-Schule - RecklinghausenS         
241378. PS-SCHULE           155950Friedrich-Ludwig-Jahn-Schule - RecklinghausenS         
241379. PS-SCHULE           155962Overbergschule Ahaus          S         
241380. PS-SCHULE           155974Pestalozzischule - Gronau     S         
241381. PS-SCHULE           155986Johannesschule - Stadtlohn    S         
241382. PS-SCHULE           155998St. Felicitas-Schule - Vreden S         
